date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2022-11-16,False,mil,cle,113,98,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-11-16,False,no,chi,124,110,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-16,False,dal,hou,92,101,0.6888888888888889,1.4,0.3111111111111111,3.1
2022-11-16,False,den,ny,103,106,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-11-16,False,phx,gs,130,119,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-11-17,False,por,bkn,107,109,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2022-11-17,False,sac,sa,130,112,0.7195253505933118,1.3448275862068966,0.2804746494066882,3.45
2022-11-17,False,lac,det,96,91,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-11-18,False,wsh,mia,107,106,0.7313237221494101,1.3225806451612903,0.2686762778505899,3.6
2022-11-18,False,phi,mil,110,102,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2022-11-18,False,cle,cha,132,122,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-11-18,False,hou,ind,91,99,0.33402922755741127,2.9,0.6659707724425887,1.4545454545454546
2022-11-18,False,mem,okc,121,110,0.679245283018868,1.4166666666666667,0.320754716981132,3.0
2022-11-18,False,chi,orl,107,108,0.769267364414843,1.2597402597402598,0.230732635585157,4.2
2022-11-18,False,dal,den,127,99,0.7747747747747749,1.25,0.22522522522522515,4.3
2022-11-18,False,no,bos,109,117,0.4201680672268907,2.3,0.5798319327731093,1.6666666666666665
2022-11-18,False,utah,phx,134,133,0.4891657638136511,1.9523809523809523,0.5108342361863489,1.8695652173913042
2022-11-18,False,gs,ny,111,101,0.7065820777160984,1.3703703703703702,0.2934179222839016,3.3
2022-11-18,False,lal,det,128,121,0.6888888888888889,1.4,0.3111111111111111,3.1
2022-11-19,False,atl,tor,124,122,0.6604688763136621,1.4651162790697674,0.33953112368633787,2.85
2022-11-19,False,ind,orl,114,113,0.7313237221494101,1.3225806451612903,0.2686762778505899,3.6
2022-11-19,False,phi,min,109,112,0.40372670807453415,2.4,0.5962732919254659,1.625
2022-11-19,False,por,utah,113,118,0.6323766526926797,1.5405405405405406,0.36762334730732027,2.65
2022-11-19,False,lac,sa,119,97,0.7747747747747749,1.25,0.22522522522522515,4.3
2022-11-20,False,phx,ny,116,95,0.679245283018868,1.4166666666666667,0.320754716981132,3.0
2022-11-20,False,sac,det,137,129,0.8162544169611309,1.1818181818181819,0.18374558303886912,5.25
2022-11-20,False,wsh,cha,106,102,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2022-11-20,False,cle,mia,113,87,0.7023445463812437,1.3773584905660377,0.29765545361875634,3.25
2022-11-20,False,bkn,mem,127,115,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-11-20,False,hou,gs,120,127,0.1935483870967742,5.0,0.8064516129032258,1.2
2022-11-20,False,dal,den,97,98,0.8064516129032258,1.2,0.19354838709677424,5.0
2022-11-20,False,lal,sa,123,92,0.679245283018868,1.4166666666666667,0.320754716981132,3.0
2022-11-21,False,cle,atl,114,102,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-21,False,ind,orl,123,102,0.7065820777160984,1.3703703703703702,0.2934179222839016,3.3
2022-11-21,False,no,gs,128,83,0.8250000000000001,1.1666666666666667,0.17499999999999993,5.5
2022-11-21,False,mil,por,119,111,0.7953488372093023,1.2222222222222223,0.20465116279069773,4.75
2022-11-21,False,okc,ny,119,129,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-21,False,chi,bos,121,107,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-11-21,False,min,mia,105,101,0.7578947368421054,1.2777777777777777,0.2421052631578946,4.0
2022-11-21,False,lac,utah,121,114,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2022-11-22,False,phi,bkn,115,106,0.26448362720403024,3.65,0.7355163727959697,1.3125
2022-11-22,False,mem,sac,109,113,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-22,False,den,det,108,110,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-11-22,False,phx,lal,115,105,0.7842323651452283,1.2380952380952381,0.21576763485477168,4.5
2022-11-23,False,ind,min,101,115,0.447405997144217,2.15,0.552594002855783,1.7407407407407407
2022-11-23,False,cha,phi,107,101,0.6187175043327556,1.5714285714285714,0.38128249566724437,2.55
2022-11-23,False,cle,por,114,96,0.7147147147147147,1.3571428571428572,0.2852852852852853,3.4
2022-11-23,False,tor,bkn,98,112,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-11-23,False,mia,wsh,113,105,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2022-11-23,False,bos,dal,125,112,0.6604688763136621,1.4651162790697674,0.33953112368633787,2.85
2022-11-23,False,atl,sac,115,106,0.6323766526926797,1.5405405405405406,0.36762334730732027,2.65
2022-11-23,False,okc,den,126,131,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-11-23,False,mil,chi,113,118,0.6979865771812079,1.3846153846153846,0.30201342281879207,3.2
2022-11-23,False,sa,no,110,129,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-11-23,False,utah,det,116,125,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-11-23,False,gs,lac,124,107,0.7953488372093023,1.2222222222222223,0.20465116279069773,4.75
2022-11-25,False,cha,min,110,108,0.31111111111111106,3.1,0.6888888888888889,1.4
2022-11-25,False,orl,phi,99,107,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-11-25,False,ny,por,129,132,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2022-11-25,False,mem,no,132,111,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-11-25,False,ind,bkn,128,117,0.4117884537747275,2.35,0.5882115462252725,1.6451612903225805
2022-11-25,False,mil,cle,117,102,0.6256684491978609,1.5555555555555556,0.3743315508021391,2.6
2022-11-25,False,hou,atl,128,122,0.28047464940668826,3.45,0.7195253505933117,1.3448275862068966
2022-11-25,False,okc,chi,123,119,0.4201680672268907,2.3,0.5798319327731093,1.6666666666666665
2022-11-25,False,bos,sac,122,104,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-11-25,False,mia,wsh,110,107,0.5882115462252726,1.6451612903225805,0.4117884537747274,2.35
2022-11-25,False,sa,lal,94,105,0.3959656331714605,2.45,0.6040343668285395,1.606060606060606
2022-11-25,False,phx,det,108,102,0.863013698630137,1.1111111111111112,0.136986301369863,7.0
2022-11-25,False,gs,utah,129,118,0.7320852162685604,1.3174603174603174,0.2679147837314396,3.6
2022-11-25,False,lac,den,104,114,0.38848920863309355,2.5,0.6115107913669064,1.5882352941176472
2022-11-26,False,tor,dal,105,100,0.43795620437956206,2.2,0.5620437956204379,1.7142857142857144
2022-11-26,False,hou,okc,118,105,0.4572564612326044,2.1,0.5427435387673956,1.7692307692307692
2022-11-26,False,sa,lal,138,143,0.5108342361863489,1.8695652173913042,0.48916576381365107,1.9523809523809523
2022-11-26,False,phx,utah,113,112,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2022-11-27,False,bkn,por,111,97,0.7313237221494101,1.3225806451612903,0.2686762778505899,3.6
2022-11-27,False,min,gs,114,137,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2022-11-27,False,lac,ind,114,100,0.4675324675324676,2.05,0.5324675324675324,1.8
